"filename", "language", "YAML", "JSON", "Go Checksum File", "Makefile", "Go Module File", "MS SQL", "Markdown", "Shell Script", "Docker", "Go", "comment", "blank", "total"
"e:\Github\go-ledger-service\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 12, 12, 38
"e:\Github\go-ledger-service\Go Ledger Service.postman_collection.json", "JSON", 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 239
"e:\Github\go-ledger-service\Makefile", "Makefile", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 7, 18
"e:\Github\go-ledger-service\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 58, 184
"e:\Github\go-ledger-service\cmd\ledger-admin\main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 403, 9, 85, 497
"e:\Github\go-ledger-service\cmd\ledger-api\main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 3, 12, 89
"e:\Github\go-ledger-service\cmd\ledger-worker\main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 6, 26
"e:\Github\go-ledger-service\cmd\webhook-receiver\main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 15, 97
"e:\Github\go-ledger-service\docker-compose.yml", "YAML", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 158
"e:\Github\go-ledger-service\docs\Go Take-Home Task.md", "Markdown", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 55, 200
"e:\Github\go-ledger-service\go.mod", "Go Module File", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"e:\Github\go-ledger-service\go.sum", "Go Checksum File", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"e:\Github\go-ledger-service\internal\cache\redis.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 2, 11, 47
"e:\Github\go-ledger-service\internal\config\ledger.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 0, 22, 190
"e:\Github\go-ledger-service\internal\db\postgres.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 14, 69
"e:\Github\go-ledger-service\internal\http\ledger_api.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 638, 1, 98, 737
"e:\Github\go-ledger-service\internal\http\request_id.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 7, 10, 53
